model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,officer_change,5,5,548,29598,0.0454694762194413,-0.004425990841970679,49.63503649635037,49.15258161054926,0.5729709106432258,109.6,0.222200693001169,True,2026-09-11T17:58:57.817032+00:00,0.5678488509407734,105,False,3,5.25
v0.5_expanded_universe,officer_change,30,5,548,146199,-0.028856401371476187,-0.038384792828282735,43.24817518248175,49.10180429180056,-0.7621080752039926,109.6,0.1060189840115606,True,2026-09-11T17:58:58.330328+00:00,0.44764751077839693,105,False,3,5.25
v0.5_expanded_universe,officer_change,90,5,548,355540,-0.028533813061369817,-0.04507059390903677,43.613138686131386,49.23382498842662,-0.7783875014997014,109.6,0.10264126340402979,True,2026-09-11T17:58:58.805078+00:00,0.43803325615815414,105,False,3,5.25
v0.5_expanded_universe,redflag,5,5,48,167,-0.2772067874502715,-0.12384974634425788,50.0,44.93055555555555,-0.25878165347283816,9.6,2.9993587043149037,True,2026-09-11T17:58:59.166476+00:00,0.8018905976536945,105,False,3,5.25
v0.5_expanded_universe,redflag,30,5,477,2664,0.045871177598240546,-0.10149371929067176,48.42767295597484,48.50945060064557,0.17770450942033722,95.4,0.7227689251895508,True,2026-09-11T17:58:59.631398+00:00,0.8593358075460183,105,False,3,5.25
v0.5_expanded_universe,redflag,90,5,548,8180,-0.09455121060459104,-0.08546460659662368,46.8978102189781,47.66141562456193,-0.6030301334515382,109.6,0.43902182495848807,True,2026-09-11T17:59:00.122410+00:00,0.5477459381681136,105,False,3,5.25
v0.5_expanded_universe,agreement,5,10,546,16826,-0.025747224500100925,-0.10986684313974311,47.61904761904761,48.35360907492,-0.12224047591089511,54.6,0.5897574274238989,True,2026-09-11T17:59:00.680268+00:00,0.9031657433524007,105,False,3,5.25
v0.5_expanded_universe,agreement,30,10,546,82164,0.009278141679134624,0.045444496080000965,53.84615384615385,49.138087336098906,0.10779218316925128,54.6,0.24100816903194178,True,2026-09-11T17:59:01.185461+00:00,0.9145630299948333,105,False,3,5.25
v0.5_expanded_universe,agreement,90,10,546,209133,-0.007451363429989136,0.03953291984710428,53.11355311355312,49.305563773788805,-0.10815601650467975,54.6,0.19290482654810825,True,2026-09-11T17:59:01.618298+00:00,0.9142757942425824,105,False,3,5.25
v0.5_expanded_universe,disclosure,5,10,543,62881,0.04054433593085633,0.0755816485226954,54.69613259668509,49.114380800487666,0.379684742322418,54.3,0.2989957929623521,True,2026-09-11T17:59:02.139873+00:00,0.7056881083068776,105,False,3,5.25
v0.5_expanded_universe,disclosure,30,10,543,267224,-0.010355497891505668,0.0358718509615958,52.67034990791897,49.44686617049805,-0.15220178725625694,54.3,0.1905062655236585,True,2026-09-11T17:59:02.630527+00:00,0.8796024674516282,105,False,3,5.25
v0.5_expanded_universe,disclosure,90,10,543,521361,0.02679418810780722,0.05457248080265571,55.06445672191529,49.40386038437005,0.43170355038343944,54.3,0.1737852900102954,True,2026-09-11T17:59:03.088781+00:00,0.6676982016552689,105,False,3,5.25
v0.5_expanded_universe,earnings,5,10,532,50806,-0.17273052804787614,-0.13911017501667772,46.42857142857143,47.64287316868262,-0.8111480574334121,53.2,0.5962480882520712,True,2026-09-11T17:59:03.571535+00:00,0.42096383627892675,105,False,3,5.25
v0.5_expanded_universe,earnings,30,10,524,274922,-0.16394096539678918,-0.06790043847138962,46.75572519083969,48.42395703277871,-1.2698526096533818,52.4,0.36148660058769144,True,2026-09-11T17:59:04.062173+00:00,0.2098560718789516,105,False,3,5.25
